business_id,categories.0,city,latitude,longitude,name,stars
5XejqzaFmtkZMstJS5Iy-w,Vegan,Phoenix,33.4803014,-112.0805864,D'Lish Cafe,4
WUiDaFQRZ8wKYGLvmjFjAw,Buffets,Charlotte,35.306173,-80.752672,China Buffet,3.5
K8dYoXbGDWJr_vSlVwDN1A,Buffets,Mississauga,43.6137775,-79.6618675,Garam Masala,2.5
KhWl4Mwhm_Oqq0zIIz-0wQ,Buffets,Las Vegas,36.117506,-115.188844,Carnival World & Seafood Buffet,2.5
ceVWEkif38SMGNcBR55PNA,Buffets,Henderson,36.0151363,-115.1184733,Tay-Yo Sushi Seafood Buffet,2
jf_h_Y8iNaduXJvpgLRPng,Sports Bars,Chandler,33.2763316444,-111.790289394,Native Grill & Wings,3
LCb2moBNkcBto_32rmZJ5A,Buffets,Toronto,43.7012899,-79.3972257,Echo Sushi,4
YQFcxE9UXrKc-QuTUu7twQ,Sports Bars,Scottsdale,33.4977693,-111.9264149,Loco Patron,3.5
CF2abR1isMzLfRPzjTvIkg,Vegan,Cleveland,41.4606693,-81.7720292,Ali Baba Restaurant,4.5
9GA2gmLV4NX2oJkuz6fdcA,Sports Bars,Pittsburgh,40.4407028,-79.9567901,Garage Door Saloon,3
4XGjbI2Ggi-kdgt9eZR83w,Buffets,Monona,43.046421,-89.352063,World Buffet,2.5
nM9NwHXy3EadihjJTG2i5w,Vegan,Las Vegas,36.1007774746,-115.101814503,Pancho's Vegan Tacos,4.5
sVqV9lzvx98kWU39Fn4c6w,Buffets,Pineville,35.086754,-80.8810249,Sky Asian Bistro,3.5
S4qUsi44l5D9BbUCkhwQEA,Buffets,Chandler,33.31923,-111.925813,New India Gate,4.5
1LSdIQQVvzzyDyiYPxztkg,Vegan,Henderson,36.0051261,-115.1127292,Vegenation,4.5
50LSp1WnwMA3PMXXvXDj0Q,Vegan,Toronto,43.754171,-79.3494929,Pizzaiolo,2
O5jWRmilHqaW54ChJh1oFg,Buffets,Mesa,33.4300004,-111.8720821,Peter Piper Pizza,2.5
w737ZnuyX-k0_0J_t0vkmQ,Buffets,Toronto,43.6687916161,-79.3910880741,The Courtyard Cafe,2.5
wm7Y03pllyJroPocxef3Ig,Vegan,Cuyahoga Falls,41.1483721,-81.5083945,Planet Sub,3
m-ZqJFz9jJqyBA9Wsp_3KA,Sports Bars,Strongsville,41.3064882,-81.8358767,Panini's Bar & Grill,2.5
ym5FOqL6tGbgynzwKMHZuw,Sports Bars,Las Vegas,36.0708818595,-115.243270866,Crab Corner,3.5
dwAPMrdLwSn1KCsJzz_oLA,Sports Bars,Gastonia,35.225924,-81.133374,Hickory Tavern,3
Rd5H5-3KbF0IwXSmHzHLdw,Sports Bars,Champaign,40.117699,-88.24061,Derailed 57 Bar,4
88_7allgDYlxedC9jP1j6w,Sports Bars,Willoughby,41.6063748,-81.4379406,Applebee's Neighborhood Grill & Bar,2
J3pAkjiicmJzXRIEDZInEA,Buffets,Laval,45.556989,-73.724304,Panda Peng,3.5
2sx52lDoiEtef7xgPCaoBw,Vegan,Las Vegas,36.1672853944,-115.139310447,VegeNation,4.5
MSVXxvCk--EuiOhWnRJTwg,Buffets,North Las Vegas,36.2392191,-115.1768961,Little Dumpling Asian Buffet,3.5
_rgsXTR4PehGyLg_8tPD0Q,Vegan,North York,43.7643146,-79.4119686,Pizzaiolo,3
QMPAOhASYDu4GYx5trTdCg,Vegan,Vaughan,43.8488651,-79.4607097,COBS Bread,5
A7IQT6RYVSWkvEAbiLCdtQ,Buffets,Toronto,43.7356008358,-79.6047169852,Desi Spice,4.5
8Zqh2jwtncA3N4fWEMTvZQ,Vegan,Phoenix,33.5763327,-112.065512,Scramble A Breakfast Joint,4
UL3n_yKPA93XlnUgB_YqgQ,Buffets,Chandler,33.3416423,-111.8590556,Jeepney Bistro,3
